Energia[eV]	A_Mo	A_Zr	A_Ag	A_Al	Atenuação_Mo	Atenuação_Zr	Atenuação_Ag	Atenuação_Al
15048	0.31	0.05	0.19	0.06	-1686.350619930088	24.173925377890015	39.52177734596607	7.832408019849618
14873	0.32	0.05	0.19	0.06	4281.883009024925	25.778612942022484	41.232482832433895	8.290681630221899
14701	0.36	0.05	0.21	0.06	9402.831069163964	27.2083248020273	43.019696400324534	8.770501720090419
14533	0.38	0.05	0.22	0.06	13725.997719765444	28.479860233231328	44.86330461615042	9.26554623614297
14369	0.43	0.06	0.25	0.06	17331.770961765775	29.617361782249013	46.753260560845874	9.772305002532036
14209	0.43	0.06	0.24	0.06	20294.758069868287	30.64257286984043	48.68012941509268	10.287547590943555
14053	0.45	0.07	0.26	0.06	22684.065114919962	31.574969668259495	50.635061503605314	10.80830913949444
13899	0.6	0.07	0.3	0.06	24585.462093983915	32.44287907441368	52.63619791345472	11.338866135676666
13750	0.55	0.07	0.28	0.07	26017.211966618444	33.244501301137866	54.637393715935595	11.866530104707754
13603	0.56	0.07	0.31	0.06	27059.778523046498	34.009569448730716	56.6721691302356	12.399749342974456
13460	0.59	0.07	0.33	0.07	27742.921127401936	34.73940215844917	58.70710333332837	12.929410918374398
13319	0.78	0.08	0.38	0.07	28117.266204556803	35.45474373192411	60.76522441485267	13.461203376649896
13182	0.74	0.08	0.39	0.07	28215.35864912209	36.154671578812746	62.81225104003923	13.986019019669424
13047	0.69	0.09	0.39	0.07	28073.86335415762	36.85755483467528	64.87325883882006	14.51008109904984
12915	0.89	0.1	0.37	0.07	27723.782576153382	37.56541343874283	66.92894283042986	15.028272651319222
12786	0.71	0.09	0.21	0.07	27195.171276595407	38.28430438681483	68.975052427853	15.539403705781728
12660	0.71	0.1	0.15	0.08	26515.608049567883	39.01930094510943	71.00760658505504	16.042402316625413
12536	0.79	0.1	0.11	0.08	25703.23388519003	39.78086140826615	73.03938866071515	16.54033359717333
12414	0.78	0.11	0.1	0.08	24778.155891270937	40.573385213107095	75.06761277063657	17.032387130621707
12295	0.75	0.11	0.1	0.08	23767.996731673324	41.39359196894216	77.0726829139211	17.513770165056847
12178	0.74	0.11	0.11	0.08	22682.697962853304	42.25095004832225	79.06865236362047	17.98784514667653
12063	0.86	0.12	0.12	0.08	21538.027673930883	43.14809892886846	81.05320147485752	18.454009954576694
11951	0.98	0.12	0.11	0.09	20359.314803421716	44.07861116560455	83.00661169079655	18.907673318783772
11840	0.82	0.13	0.12	0.08	19138.811902761478	45.06075633449452	84.96171320025601	19.35645208612188
11732	0.88	0.13	0.12	0.09	17910.574518925587	46.07800376432108	86.88136198900501	19.79183465368666
11625	0.92	0.14	0.13	0.08	16662.979248939788	47.14998058782255	88.79929244710299	20.2215031741631
11521	0.92	0.14	0.13	0.09	15429.335593960313	48.25700083160587	90.67796582317943	20.637099445619373
11419	0.87	0.15	0.12	0.09	14207.06558968357	49.40873882476848	92.53366030353618	21.0423691124896
11318	0.91	0.17	0.13	0.1	12992.17770221944	50.617107862683746	94.38327414766081	21.441009755231462
11219	0.98	0.18	0.12	0.1	11803.98137375484	51.87048163792717	96.2072765924668	21.82883272542489
11122	0.95	0.18	0.13	0.1	10649.001896363601	53.16787735560548	98.00436225223369	22.205674382111994
11026	1.04	0.19	0.13	0.1	9521.311332965412	54.52249635792477	99.79198263942102	22.575239795678108
10933	0.97	0.2	0.14	0.1	8449.403546047673	55.9045655630603	101.53176237997708	22.929737212861042
10840	0.94	0.2	0.14	0.11	7403.485848579666	57.35803317436004	103.2788804823345	23.280478491451447
10750	1.04	0.19	0.14	0.11	6421.4338382205015	58.835133964151176	104.97610817767382	23.6160562264054
10661	1.15	0.2	0.15	0.11	5484.562877338322	60.36645370875162	106.6602397455247	23.943921779171355
10573	1.02	0.21	0.16	0.11	4596.646678383386	61.95194725052213	108.33060735584745	24.26395894617293
